id,name,reactionSites,monoisotopicMass,specificities
XL:00001,Xlink:BS3,2,138.06807961,"(K,S,T,Y,Protein N-term)&(K,S,T,Y,Protein N-term)"
XL:00002,Xlink:DSS,2,138.06807961,"(K,S,T,Y,Protein N-term)&(K,S,T,Y,Protein N-term)"
XL:00003,Xlink:DSS:d4,2,142.093186586,"(K,S,T,Y,Protein N-term)&(K,S,T,Y,Protein N-term)"
XL:00004,Xlink:DSS:d12,2,150.143400538,"(K,S,T,Y,Protein N-term)&(K,S,T,Y,Protein N-term)"
XL:00005,Xlink:BS3:d4,2,142.093186586,"(K,S,T,Y,Protein N-term)&(K,S,T,Y,Protein N-term)"
XL:00006,Xlink:BS2G,2,96.0211294,"(K,S,T,Y,Protein N-term)&(K,S,T,Y,Protein N-term)"
XL:00007,Xlink:DSG,2,96.0211294,"(K,S,T,Y,Protein N-term)&(K,S,T,Y,Protein N-term)"
XL:00008,Xlink:DSG:d4,2,146.118293562,"(K,S,T,Y,Protein N-term)&(K,S,T,Y,Protein N-term)"
XL:00009,Xlink:BS2G:d4,2,100.046236376,"(K,S,T,Y,Protein N-term)&(K,S,T,Y,Protein N-term)"
XL:00010,Xlink:Disulfide,2,-2.01565007,(C)&(C)
XL:00011,Xlink:EDC,2,-18.01056027,"(K,S,T,Y,Protein N-term)&(E,D,Protein C-term)"
XL:01000,Xlink:BS3!Hydrolyzed,1,156.07864431,"(K,S,T,Y,Protein N-term)"
XL:01001,Xlink:BS3!Amidated,1,155.094628715,"(K,S,T,Y,Protein N-term)"
XL:01002,Xlink:DSS!Hydrolyzed,1,156.07864431,"(K,S,T,Y,Protein N-term)"
XL:01003,Xlink:DSS!Amidated,1,155.094628715,"(K,S,T,Y,Protein N-term)"
XL:01004,Xlink:DSS:d4!Hydrolyzed,1,160.1037416836,"(K,S,T,Y,Protein N-term)"
XL:01005,Xlink:DSS:d4!Amidated,1,159.1197260886,"(K,S,T,Y,Protein N-term)"
XL:01006,Xlink:DSS:d12!Hydrolyzed,1,168.153965238,"(K,S,T,Y,Protein N-term)"
XL:01007,Xlink:DSS:d12!Amidated,1,167.169949643,"(K,S,T,Y,Protein N-term)"
XL:01008,Xlink:BS3:d4!Hydrolyzed,1,160.103751286,"(K,S,T,Y,Protein N-term)"
XL:01009,Xlink:BS3:d4!Amidated,1,159.119735691,"(K,S,T,Y,Protein N-term)"
XL:01010,Xlink:BS2G!Hydrolyzed,1,114.0316941,"(K,S,T,Y,Protein N-term)"
XL:01011,Xlink:BS2G!Amidated,1,113.047678505,"(K,S,T,Y,Protein N-term)"
XL:01012,Xlink:DSG!Hydrolyzed,1,114.0316941,"(K,S,T,Y,Protein N-term)"
XL:01013,Xlink:DSG!Amidated,1,113.047678505,"(K,S,T,Y,Protein N-term)"
XL:01014,Xlink:DSG:d4!Hydrolyzed,1,164.128858262,"(K,S,T,Y,Protein N-term)"
XL:01015,Xlink:DSG:d4!Amidated,1,163.144842667,"(K,S,T,Y,Protein N-term)"
XL:01016,Xlink:BS2G:d4!Hydrolyzed,1,118.056801076,"(K,S,T,Y,Protein N-term)"
XL:01017,Xlink:BS2G:d4!Amidated,1,117.072785481,"(K,S,T,Y,Protein N-term)"
