ID,ShortName,Long Name,Reference,XLMOD name,Synonyms,Type,ReactionSites,Monouisotopic Mass,Average Mass,Formula,Specificities
XL:00001,BS3,bis(sulfosuccinimidyl)suberate,https://www.thermofisher.com/order/catalog/product/21580,Xlink:BS3,BS3,cross-link,2,138.06807961,138.16,C8 H10 O2,"(K,S,T,Y,n-term)&(K,S,T,Y,n-term)"
XL:00002,DSS,disuccinimidyl suberate,https://www.thermofisher.com/order/catalog/product/21655,Xlink:DSS,DSS,cross-link,2,138.06807961,138.16,C8 H10 O2,"(K,S,T,Y,n-term)&(K,S,T,Y,n-term)"
XL:00003,DSS-D4,"disuccinimidyl 2,2,7,7-suberate-d4 (?)",,Xlink:DSS:D4,DSS-D4,cross-link,2,142.093186586,142.19,C8 H6 2H4 O2,"(K,S,T,Y,n-term)&(K,S,T,Y,n-term)"
XL:00004,DSS-D12,"disuccinimidyl 2,2,3,3,4,4,5,5,6,6,7,7-suberate-d12 (?)",,Xlink:DSS:D12,DSS-D12,cross-link,2,150.143400538,150.24,C8 -H2 2H12 O2,"(K,S,T,Y,n-term)&(K,S,T,Y,n-term)"
XL:00005,BS3-d4,"bis(sulfosuccinimidyl) 2,2,7,7-suberate-d4",https://www.thermofisher.com/order/catalog/product/21615,Xlink:BS3:d4,BS3-d4,cross-link,2,142.093186586,142.19,C8 H6 2H4 O2,"(K,S,T,Y,n-term)&(K,S,T,Y,n-term)"
XL:00006,BS2G,bis(sulfosuccinimidyl) glutarate,https://www.thermofisher.com/order/catalog/product/21610,Xlink:BS2G,BS2G,cross-link,2,96.0211294,96.08,C5 H4 O2,"(K,S,T,Y,n-term)&(K,S,T,Y,n-term)"
XL:00007,DSG,disuccinimidyl glutarate,https://www.thermofisher.com/order/catalog/product/20593,Xlink:DSG,DSG,cross-link,2,96.0211294,96.08,C5 H4 O2,"(K,S,T,Y,n-term)&(K,S,T,Y,n-term)"
XL:00008,DSG-d4,"disuccinimidyl 2,2,4,4-glutarate-d4",http://www.proteochem.com/deuteratedcrosslinkerdsgd410mg-p-49.html,Xlink:DSG:d4,DSG-d4,cross-link,2,146.118293562,146.21,C5 2H4 O2,"(K,S,T,Y,n-term)&(K,S,T,Y,n-term)"
XL:00009,BS2G-d4,"bis(sulfosuccinimidyl) 2,2,4,4-glutarate-d4",https://www.thermofisher.com/order/catalog/product/21615,Xlink:BS2G:d4,BS2G-d4,cross-link,2,100.046236376,100.11,C5 2H4 O2,"(K,S,T,Y,n-term)&(K,S,T,Y,n-term)"
XL:00010,BS(PEG)5,PEGylated bis(sulfosuccinimidyl)suberate,https://www.thermofisher.com/order/catalog/product/21581?,Xlink:BS(PEG)5,BS(PEG)5;NHS-PEG-NHS;BS(PEO)5;Bis(NHS)PEO5,cross-link,2,302.13655,302.32,C14 H22 O7,"(K,S,T,Y,n-term)&(K,S,T,Y,n-term)"
XL:00011,EGS,ethylene glycol bis(succinimidyl succinate),https://www.thermofisher.com/order/catalog/product/21565,Xlink:EGS,EGS,cross-link,2,226.047738,226.18,C10 H10 O6,"(K,S,T,Y,n-term)&(K,S,T,Y,n-term)"
XL:00012,BSOCOES,bis(2-(succinimidooxycarbonyloxy)ethyl)sulfone,https://www.thermofisher.com/order/catalog/product/21600,Xlink:BSOCOES,BSOCOES,cross-link,2,205.988512,206.17,C6 H6 O6 S1,"(K,S,T,Y,n-term)&(K,S,T,Y,n-term)"
XL:00013,DST,disuccinimidyl tartrate,https://www.thermofisher.com/order/catalog/product/20589,Xlink:DST,DST,cross-link,2,113.99531,114.06,C4 H2 O4,"(K,S,T,Y,n-term)&(K,S,T,Y,n-term)"
XL:00014,DSP,dithiobis(succinimidyl propionate),https://www.thermofisher.com/order/catalog/product/22585,Xlink:DSP,DSP,cross-link,2,173.98092087,174.24,C6 H6 O2 S2,"(K,S,T,Y,n-term)&(K,S,T,Y,n-term)"
XL:00015,EDC,1-ethyl-3-(3-dimethylaminopropyl)carbodiimide hydrochloride,https://www.thermofisher.com/order/catalog/product/77149,Xlink:EDC,EDC,cross-link,2,-18.01056027,-18.02,-O -H2,"(K,S,T,Y,n-term)&(E,D,c-term)"
XL:00016,SDA,"succinimidyl 4,4'-azipentanoate",https://www.thermofisher.com/order/catalog/product/26167B,Xlink:SDA,SDA;NHS-Diazirine,cross-link,2,82.04186484,82.1,C5 H6 O1,"(K,S,T,Y,n-term)&(*)"
XL:00017,LC-SDA,"succinimidyl 6-(4,4'-azipentanamido)hexanoate",https://www.thermofisher.com/order/catalog/product/26168,Xlink:LC-SDA,LC-SDA;NHS-LC-Diazirine,cross-link,2,195.125928855,195.26,C11 H17 O2 N1,"(K,S,T,Y,n-term)&(*)"
XL:00018,SBP,,,Xlink:SBP,SBP,cross-link,2,208.05242954,208.21,C14 H8 O2,"(K,S,T,Y,n-term)&(*)"
XL:00019,Photo-Leucine,L-Photo-Leucine,https://www.thermofisher.com/order/catalog/product/22610,Xlink:Photo-Leucine,Photo-Leucine,cross-link,2,-16.0313,-16.04,-C1 -H4,(L)&(*)
XL:00020,Photo-Methionine,L-Photo-Methionine,https://www.thermofisher.com/order/catalog/product/22615,Xlink:Photo-Methionine,Photo-Methionine,cross-link,2,-19.972072,-20.05,-S1 C1,(M)&(*)
